(0, 8, 12)
(1, 6, 6)
(1, 15, 5)
(0, 2, 3)
(0, 6, 2)
(0, 9, 2)
(0, 88, 2)
(1, 1, 1)
(1, 4, 1)
(0, 0, 0)
(1, 7, 1)
(0, 0, 0)
(1, 10, 1)
(0, 0, 0)
(1, 99, 1)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(-1, -1, -1)
(-1, -1, -1)
(0, 0, 0)
(0, 0, 0)
(-1, -1, -1)
(-1, -1, -1)
(0, 0, 0)
(0, 0, 0)
(-1, -1, -1)
(-1, -1, -1)
(0, 0, 0)
(0, 0, 0)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
(-1, -1, -1)
Insertion Done
